date,temperature,ph,nitrogen,flow_speed,pollution_level
2015-01-31,13.48,7.52,0.76,1.41,0.317
2015-02-28,9.03,6.84,0.97,1.81,0.265
2015-03-31,14.53,7.76,1.15,1.16,0.37
2015-04-30,20.66,6.64,1.26,1.36,0.472
2015-05-31,8.36,7.43,0.64,1.48,0.234
2015-06-30,8.36,8.08,0.9,1.04,0.296
2015-07-31,21.05,6.8,0.86,1.29,0.382
2015-08-31,15.37,6.97,0.8,1.21,0.326
2015-09-30,6.71,7.24,1.53,1.24,0.475
2015-10-31,13.8,7.0,1.12,0.89,0.456
2015-11-30,6.76,6.58,0.62,1.21,0.263
2015-12-31,6.74,7.23,1.28,1.4,0.41
2016-01-31,11.69,6.78,1.64,1.78,0.438
2016-02-29,-3.39,7.39,1.31,1.58,0.259
2016-03-31,-2.07,6.83,0.54,2.06,0.164
2016-04-30,6.06,7.82,0.85,0.89,0.342
2016-05-31,2.91,6.89,1.38,1.55,0.314
2016-06-30,12.2,7.07,0.79,1.27,0.321
2016-07-31,3.64,7.53,1.13,2.08,0.238
2016-08-31,0.11,6.71,1.23,0.88,0.311
2016-09-30,20.26,7.29,0.72,0.86,0.433
2016-10-31,8.42,7.72,0.98,0.96,0.417
2016-11-30,10.47,6.56,0.1,0.35,0.223
2016-12-31,0.03,7.27,0.69,0.99,0.263
2017-01-31,6.19,7.3,0.92,0.9,0.319
2017-02-28,10.78,7.51,0.63,1.26,0.274
2017-03-31,1.94,6.71,1.49,1.34,0.357
2017-04-30,12.63,6.67,0.57,1.95,0.211
2017-05-31,5.8,7.41,0.87,1.58,0.273
2017-06-30,7.96,7.32,1.04,0.97,0.341
2017-07-31,5.79,7.3,1.43,0.84,0.44
2017-08-31,22.97,7.34,0.57,1.4,0.353
2017-09-30,9.91,6.93,1.35,0.67,0.453
2017-10-31,2.6,7.29,1.0,1.93,0.217
2017-11-30,15.76,7.32,0.71,1.67,0.289
2017-12-31,1.45,6.91,1.14,1.01,0.357
2018-01-31,11.46,7.95,1.06,0.51,0.446
2018-02-28,-3.72,7.39,0.82,1.74,0.152
2018-03-31,0.7,6.72,1.02,1.15,0.299
2018-04-30,11.38,7.46,0.88,1.7,0.327
2018-05-31,15.17,6.81,1.03,0.56,0.399
2018-06-30,11.2,7.51,1.2,0.96,0.435
2018-07-31,9.19,7.66,1.48,1.2,0.415
2018-08-31,7.89,6.87,0.63,1.22,0.289
2018-09-30,-0.35,7.59,1.64,1.02,0.388
2018-10-31,4.96,7.37,0.41,1.45,0.14
2018-11-30,6.78,7.53,0.95,0.77,0.31
2018-12-31,17.4,7.96,1.18,1.14,0.446
2019-01-31,12.41,7.1,1.08,1.25,0.392
2019-02-28,-2.34,6.9,0.81,1.41,0.19
2019-03-31,12.27,6.84,0.94,1.48,0.357
2019-04-30,7.3,6.87,0.85,0.75,0.296
2019-05-31,5.26,7.17,0.82,0.59,0.337
2019-06-30,14.28,7.34,1.25,1.71,0.355
2019-07-31,17.22,7.31,1.11,1.33,0.396
2019-08-31,16.52,7.53,0.79,0.9,0.39
2019-09-30,4.13,7.21,1.27,1.82,0.287
2019-10-31,7.84,7.78,1.09,1.25,0.341
2019-11-30,12.32,7.09,1.24,1.67,0.408
2019-12-31,16.83,8.29,1.19,1.23,0.419
2020-01-31,6.65,7.45,0.75,2.02,0.246
2020-02-29,8.7,6.86,0.83,1.9,0.226
2020-03-31,2.26,6.77,1.22,1.1,0.364
2020-04-30,1.63,7.39,1.18,1.59,0.341
2020-05-31,15.69,7.11,0.99,1.46,0.3
2020-06-30,19.49,7.49,1.04,1.75,0.362
2020-07-31,9.5,7.39,1.38,0.81,0.469
2020-08-31,17.02,7.17,0.82,1.47,0.346
2020-09-30,12.53,6.86,1.16,1.62,0.38
2020-10-31,5.48,6.59,0.94,0.5,0.35
2020-11-30,12.53,7.02,0.93,0.73,0.402
2020-12-31,20.77,7.54,1.33,0.38,0.552
2021-01-31,9.75,7.29,1.25,1.09,0.442
2021-02-28,20.95,6.7,1.24,1.49,0.462
2021-03-31,-5.0,7.27,1.39,1.8,0.281
2021-04-30,15.75,7.35,1.01,1.23,0.383
2021-05-31,10.61,6.85,1.2,1.85,0.33
2021-06-30,7.91,7.26,0.91,0.65,0.355
2021-07-31,10.64,7.22,1.1,0.52,0.444
2021-08-31,-3.91,6.74,0.96,1.18,0.238
2021-09-30,8.46,7.34,1.03,1.35,0.346
2021-10-31,12.5,7.42,1.18,1.19,0.469
2021-11-30,20.35,7.63,0.75,0.37,0.477
2021-12-31,6.37,7.62,1.63,1.16,0.436
2022-01-31,4.34,6.65,0.7,0.68,0.338
2022-02-28,6.49,6.82,0.64,1.47,0.231
2022-03-31,16.41,7.41,1.35,1.35,0.391
